"Probable_Pitchers"
"Nick Martinez"
"Tyler Mahle"
"Freddy Peralta"
"Jose Quintana"
"Bruce Zimmermann"
"Jameson Taillon"
"Trevor Rogers"
"Patrick Corbin"
"A. Senzatela"
"Zack Wheeler"
"Tarik Skubal"
"Bailey Ober"
"Chris Flexen"
"Corey Kluber"
"Justin Verlander"
"Martin Perez"
"Brad Keller"
"Michael Kopech"
"Garrett Whitlock"
"Alek Manoah"
"Cal Quantrill"
"Reid Detmers"
"Drew Smyly"
"Kyle Wright"
"H. Castellanos"
"Dakota Hudson"
