Probable_Pitchers
Carlos Carrasco
Steven Matz
Julio Urias
Zac Gallen
Aaron Ashby
Bryse Wilson
MacKenzie Gore
V. Gutierrez
Marco Gonzales
Drew Rasmussen
Ryan Feltner
Ranger Suarez
Tyler Wells
J. Montgomery
Pablo Lopez
Erick Fedde
Michael Wacha
Ross Stripling
Zack Greinke
Dylan Cease
Mark Leiter
Charlie Morton
Michael Pineda
Joe Ryan
Cristian Javier
Glenn Otto
Zach Plesac
Shohei Ohtani
Paul Blackburn
Jakob Junis
