Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
CHW,889,2267,96,306,294,20,7.90%,25.20%,0.192,0.314,0.261,0.326,0.453,0.334,,112,-0.5,33.8,2.5,13.4
SDP,913,2231,95,325,312,55,9.10%,21.50%,0.209,0.291,0.257,0.333,0.466,0.341,,116,2.1,47.9,7.4,13.1
LAD,921,2316,118,349,327,29,9.80%,20.30%,0.227,0.276,0.256,0.338,0.483,0.35,,121,-5.1,56.9,-15.3,12
ATL,900,2344,103,348,338,23,10.20%,24.40%,0.215,0.322,0.268,0.349,0.483,0.355,,120,3.7,62.1,-11.8,11
NYM,902,2279,86,286,278,20,8.60%,21.90%,0.187,0.32,0.272,0.348,0.459,0.347,,123,-11.1,55.4,-9.3,10.4
NYY,878,2210,94,315,301,27,11.40%,21.70%,0.2,0.28,0.247,0.342,0.447,0.341,,117,6,51.1,-8.3,9.9
TBR,946,2261,80,289,274,48,10.70%,26.90%,0.187,0.3,0.238,0.328,0.425,0.325,,111,5.6,35.6,5.6,9.9
OAK,865,2201,71,274,264,26,10.80%,23.80%,0.171,0.271,0.225,0.322,0.396,0.314,,102,6.4,10.5,9.8,9.6
MIN,882,2168,91,269,258,14,8.60%,24.40%,0.186,0.283,0.242,0.315,0.427,0.319,,101,0.4,3.8,-3,9.5
SFG,974,2259,81,299,290,19,8.60%,22.10%,0.187,0.311,0.263,0.335,0.451,0.337,,113,-3.2,34.2,-16.8,9.5
LAA,890,2308,85,294,285,21,10.40%,21.20%,0.182,0.284,0.248,0.332,0.43,0.329,,108,-3.5,18.1,-14.5,8.3
CHC,908,2214,74,265,248,24,10.30%,25.70%,0.167,0.27,0.22,0.318,0.387,0.309,,90,4.7,-23.6,7.4,8.1
STL,827,2011,51,240,231,18,10.20%,23.70%,0.137,0.29,0.234,0.323,0.371,0.306,,94,-0.7,-16.6,7.3,7.8
CLE,869,2247,59,248,234,25,10.60%,23.00%,0.144,0.277,0.228,0.317,0.372,0.303,,90,-1.2,-29,6.1,7.6
BOS,884,2304,81,292,278,31,8.10%,23.70%,0.18,0.321,0.265,0.33,0.445,0.333,,106,-0.5,16.4,-5.6,7.1
KCR,940,2200,68,248,237,49,7.80%,24.00%,0.158,0.297,0.244,0.309,0.402,0.308,,91,3.1,-20.3,-6.6,7
PHI,875,2223,82,306,289,35,10.30%,21.60%,0.183,0.299,0.257,0.342,0.439,0.336,,108,3.3,26.3,-18,6.6
DET,882,2076,62,249,242,19,7.10%,27.30%,0.152,0.314,0.245,0.303,0.397,0.303,,90,-2.3,-27.6,-8,5.6
SEA,843,2181,60,254,244,50,9.50%,25.00%,0.144,0.281,0.226,0.309,0.37,0.298,,91,7,-16.2,-5.7,5.4
TOR,910,2263,88,302,288,33,9.00%,22.40%,0.186,0.297,0.255,0.325,0.441,0.329,,104,-2.9,7.8,-14.2,5.3
HOU,860,2229,69,279,268,22,8.60%,19.70%,0.168,0.273,0.24,0.312,0.408,0.311,,98,-0.6,-5.1,-19.9,5.2
ARI,862,2238,58,269,255,23,8.10%,20.60%,0.15,0.282,0.241,0.312,0.391,0.306,,87,5.5,-31.2,1.1,4.8
CIN,889,2123,90,243,237,29,11.30%,25.20%,0.191,0.245,0.212,0.312,0.403,0.312,,88,-6,-38.1,-11.7,4.4
MIL,906,2188,75,247,238,15,10.10%,26.60%,0.166,0.278,0.223,0.313,0.389,0.307,,89,-17.6,-49.3,-5.7,4.2
BAL,906,2242,77,274,264,19,7.30%,22.90%,0.171,0.309,0.258,0.321,0.429,0.323,,102,-4.1,1.2,-21,3.9
MIA,904,2167,60,263,247,51,8.80%,24.80%,0.141,0.306,0.244,0.319,0.384,0.308,,95,4,-10.6,-10.7,3.6
WSN,870,2218,66,293,279,33,8.70%,20.30%,0.17,0.308,0.264,0.336,0.433,0.33,,104,-3.6,7.4,-31.8,3.4
COL,888,2257,63,275,264,42,7.10%,24.10%,0.148,0.316,0.257,0.311,0.405,0.307,,77,10.8,-55.8,6.1,2.9
PIT,873,2134,59,219,210,16,7.80%,24.40%,0.137,0.268,0.22,0.284,0.357,0.279,,73,-2.3,-77,-9,0.9
TEX,865,2147,62,224,204,49,7.80%,25.50%,0.147,0.266,0.217,0.285,0.364,0.283,,77,3,-57.3,-17.8,0.1
