Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Edwin Uceta,LAD,0,1,0,1,1,2,9,4.5,4.5,0.6,83.30%,33.30%,33.30%,91.7,9,,9.17,5.32,-0.1,20539
Drew Hutchison,DET,0,1,0,2,2,6,3,6,1.5,0.333,51.70%,56.00%,11.10%,92.1,3,,6.67,7.15,-0.1,10732
Jose De Leon,CIN,0,1,0,2,2,9.1,17.36,4.82,3.86,0.389,76.90%,31.80%,36.40%,94.2,7.71,,6.49,3,-0.1,15463
Scott Kazmir,SFG,0,1,0,4,4,10.1,6.97,4.35,1.74,0.303,70.40%,50.00%,18.20%,92.3,5.23,,5.59,4.95,-0.1,4897
Brusdar Graterol,LAD,0,0,0,1,1,1,18,0,9,0.5,0.00%,66.70%,100.00%,98.9,18,,12.17,0.93,-0.1,20367
Travis Lakins Sr.,BAL,0,0,0,1,1,1.2,0,16.2,0,0.167,80.00%,33.30%,0.00%,92.7,5.4,,10.37,12.49,-0.1,18600
Pierce Johnson,SDP,0,1,0,2,2,2,18,4.5,4.5,0.333,100.00%,50.00%,50.00%,95.1,4.5,,8.67,3.93,-0.1,13435
Anthony Bass,MIA,0,1,0,1,1,1,18,0,9,0,100.00%,0.00%,100.00%,94,9,,12.17,0.93,-0.1,7982
Hector Santiago,SEA,0,0,0,1,1,3,3,3,3,0.111,100.00%,50.00%,25.00%,89.8,3,,7.84,5.86,-0.1,4026
Darien Nunez,LAD,0,0,0,1,1,2,9,4.5,4.5,0.25,62.50%,20.00%,25.00%,94.5,9,,9.17,6.2,-0.1,21197
Nick Wittgren,CLE,0,1,0,1,1,0.2,0,40.5,0,0.333,50.00%,33.30%,0.00%,92.4,27,,16.67,19.32,-0.1,15594
