Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,playerid
Lance McCullers Jr.,HOU,13,5,0,28,28,162.1,10.26,4.21,0.72,0.273,78.50%,56.40%,11.70%,93.4,3.16,3.42,3.52,3.69,3.3,14120
Joe Musgrove,SDP,11,9,0,31,31,176.1,10.21,2.76,1.12,0.273,79.60%,43.50%,14.60%,93.3,3.27,,3.73,3.62,3.2,12970
Kyle Gibson,TEX,10,8,0,30,30,177.2,7.7,3.09,0.81,0.273,74.80%,51.80%,10.90%,93.1,3.5,,3.78,4.07,3.1,10123
Luis Garcia,HOU,11,7,0,28,28,149.1,9.64,2.95,1.08,0.292,76.90%,38.90%,11.50%,93.3,3.56,,3.62,3.91,3.1,23735
Chris Flexen,SEA,14,6,0,31,31,179.2,6.26,2,0.95,0.3,76.60%,42.40%,9.10%,92.9,3.61,4.3,3.89,4.56,3,13896
Anthony DeSclafani,SFG,13,7,0,31,31,167.2,8.16,2.25,1.02,0.265,78.30%,44.30%,11.00%,94.2,3.17,3.95,3.62,3.95,3,13050
Shohei Ohtani,LAA,9,2,0,23,23,130.1,10.77,3.04,1.04,0.269,79.40%,45.00%,13.30%,95.7,3.18,3.35,3.52,3.55,3,19755
Wade Miley,CIN,12,7,0,28,28,163,6.9,2.76,0.94,0.301,79.40%,49.40%,12.60%,90.1,3.37,4.15,3.97,4.07,2.9,8779
Yu Darvish,SDP,8,11,0,30,30,166.1,10.77,2.38,1.52,0.274,72.30%,37.00%,14.60%,94.6,4.22,3.35,3.9,3.75,2.9,13074
Steven Matz,TOR,14,7,0,29,29,150.2,8.6,2.57,1.08,0.321,75.40%,45.50%,12.30%,,3.82,4.09,3.79,3.94,2.8,13361
Shane Bieber,CLE,7,4,0,16,16,96.2,12.48,3.07,1.02,0.327,80.50%,44.00%,14.70%,92.9,3.17,3.76,3.03,2.91,2.6,19427
Tyler Glasnow,TBR,5,2,0,14,14,88,12.58,2.76,1.02,0.25,82.40%,45.30%,14.30%,97.3,2.66,2.76,2.77,2.7,2.5,14374
Shane McClanahan,TBR,10,6,0,25,25,123.1,10.29,2.7,1.02,0.328,78.90%,45.50%,14.30%,96.7,3.43,4.6,3.31,3.23,2.5,21483
Alex Wood,SFG,10,4,0,26,26,138.2,9.87,2.53,0.91,0.305,72.90%,50.80%,14.00%,,3.83,3.9,3.48,3.44,2.5,13781
Alex Cobb,LAA,8,3,0,18,18,93.1,9.45,3.18,0.48,0.315,65.80%,53.30%,8.20%,93.2,3.76,3.98,2.92,3.38,2.5,6562
John Means,BAL,6,9,0,26,26,146.2,8.22,1.6,1.84,0.24,80.50%,32.90%,15.00%,92.9,3.62,4.09,4.62,4.36,2.5,16269
Hyun-Jin Ryu,TOR,14,10,0,31,31,169,7.62,1.97,1.28,0.295,70.70%,46.80%,14.10%,89.8,4.37,4.48,4.02,3.94,2.5,14444
Merrill Kelly,ARI,7,11,0,27,27,158,7.41,2.34,1.2,0.301,70.50%,43.90%,12.60%,91.7,4.44,4.51,4.11,4.24,2.4,11156
Sonny Gray,CIN,7,9,0,26,26,135.1,10.31,3.33,1.26,0.28,72.40%,47.20%,16.50%,92.6,4.19,3.25,3.99,3.66,2.4,12768
Ranger Suarez,PHI,3,2,0,12,12,65.2,8.91,2.6,0.14,0.295,86.60%,56.70%,2.20%,93.9,1.51,,2.35,3.39,2.4,17277
Pablo Lopez,MIA,5,5,0,20,20,102.2,10.08,2.28,0.96,0.301,79.70%,47.00%,13.30%,94,3.07,3.55,3.29,3.32,2.3,17085
Jon Gray,COL,8,12,0,29,29,149,9.48,3.5,1.27,0.298,69.60%,48.40%,15.10%,95,4.59,3.98,4.22,4.04,2.3,14916
Mike Minor,KCR,8,12,0,28,28,158.2,8.45,2.33,1.47,0.29,66.40%,38.40%,13.40%,91.1,5.05,4.39,4.29,4.32,2.3,10021
Logan Gilbert,SEA,6,5,0,24,24,119.1,9.65,2.11,1.28,0.293,67.90%,32.30%,10.90%,95.4,4.68,4.09,3.73,4.19,2.2,22250
Zach Eflin,PHI,4,7,0,18,18,105.2,8.43,1.36,1.28,0.327,72.80%,43.50%,14.20%,93.2,4.17,3.87,3.68,3.61,2.2,13774
Blake Snell,SDP,7,6,0,27,27,128.2,11.89,4.83,1.12,0.291,74.40%,39.70%,14.30%,95.2,4.2,4.89,3.82,3.74,2.1,13543
Nick Pivetta,BOS,9,8,0,30,30,154,10.17,3.8,1.4,0.29,73.20%,38.30%,13.60%,95,4.56,,4.3,4.29,2.1,15454
Tyler Anderson,PIT,7,11,0,31,31,167,7.22,2.05,1.46,0.284,71.30%,35.10%,12.20%,90.8,4.53,4.24,4.37,4.6,2.1,12880
Cole Irvin,OAK,10,15,0,32,32,178.1,6.31,2.12,1.16,0.302,71.10%,37.60%,10.40%,91,4.24,4.96,4.3,4.82,2.1,19244
Brady Singer,KCR,5,10,0,27,27,128.1,9.19,3.72,0.98,0.35,67.80%,49.90%,13.00%,93.7,4.91,4.57,4.04,4.11,2,25377
Alek Manoah,TOR,9,2,0,20,20,111.2,10.24,3.22,0.97,0.246,76.60%,38.80%,10.70%,93.5,3.22,3.32,3.8,4.17,2,26410
Jameson Taillon,NYY,8,6,0,29,29,144.1,8.73,2.74,1.5,0.272,73.10%,33.20%,12.10%,94.1,4.3,3.92,4.43,4.69,2,11674
Framber Valdez,HOU,11,6,0,22,22,134.2,8.35,3.88,0.8,0.268,78.30%,70.30%,21.40%,92.3,3.14,3.84,4.01,3.58,1.9,17295
Matt Harvey,BAL,6,14,0,28,28,127.2,6.7,2.61,1.34,0.331,60.40%,42.70%,12.30%,93.6,6.27,5.41,4.6,4.81,1.9,11713
Ian Anderson,ATL,9,5,0,24,24,128.1,8.7,3.72,1.12,0.261,79.10%,49.30%,15.10%,94.6,3.58,4.3,4.12,3.96,1.9,19951
Cal Quantrill,CLE,8,2,0,22,22,121,7.36,2.6,1.04,0.264,76.60%,42.60%,10.90%,94.5,3.12,,4.05,4.42,1.8,19312
Jose Urquidy,HOU,8,3,0,20,20,107,7.57,1.6,1.43,0.237,77.20%,32.20%,12.10%,92.7,3.62,3.98,4.14,4.39,1.8,18413
Tanner Houck,BOS,0,4,0,13,13,58.2,11.2,2.3,0.61,0.324,66.30%,49.00%,9.10%,94.7,3.68,,2.64,3.08,1.8,19879
Chris Paddack,SDP,7,7,0,22,22,106.1,8.04,1.86,1.18,0.306,59.40%,42.70%,12.40%,94.9,5.08,,3.74,3.91,1.8,20099
Dane Dunning,TEX,5,10,0,25,25,114.2,8.56,3.38,0.94,0.334,72.00%,53.90%,13.60%,,4.55,,3.94,3.93,1.8,19409
Trevor Bauer,LAD,8,5,0,17,17,107.2,11.45,3.09,1.59,0.22,88.90%,33.50%,16.00%,94,2.59,3.45,4.03,3.69,1.8,12703
Eric Lauer,MIL,7,5,0,20,20,106.2,8.52,2.95,1.1,0.25,79.00%,36.20%,10.90%,92.5,3.04,,3.9,4.29,1.8,19316
Patrick Sandoval,LAA,3,6,0,14,14,79.2,9.72,3.5,0.9,0.274,74.90%,50.70%,12.90%,93.3,3.39,,3.63,3.7,1.7,19447
Kenta Maeda,MIN,6,5,0,21,21,106.1,9.56,2.71,1.35,0.316,69.30%,38.40%,14.40%,90.8,4.66,3.71,4.1,3.99,1.7,18498
Rich Hill,TBR,7,8,0,31,31,155.2,8.44,3.01,1.21,0.274,78.10%,35.20%,11.50%,88.4,3.76,,4.36,4.68,1.6,4806
Danny Duffy,KCR,4,3,0,12,12,60,9.6,3.3,0.9,0.293,83.80%,32.50%,8.20%,93.7,2.55,,3.44,4.28,1.6,3542
Madison Bumgarner,ARI,7,10,0,26,26,146.1,7.63,2.4,1.48,0.265,67.80%,33.30%,12.30%,90.5,4.67,4.36,4.63,4.85,1.5,5524
Michael Wacha,TBR,3,5,0,23,23,107.1,8.55,2.18,1.34,0.308,70.30%,39.40%,14.30%,93.9,4.53,,4.05,3.95,1.5,14078
Spencer Turnbull,DET,4,2,0,9,9,50,7.92,2.16,0.36,0.254,70.30%,57.20%,5.30%,94.5,2.88,3.03,2.95,3.77,1.5,16207
Kyle Freeland,COL,7,8,0,23,23,120.2,7.83,2.83,1.49,0.325,78.90%,45.00%,16.40%,91.5,4.33,4.24,4.63,4.26,1.5,16256
Zac Gallen,ARI,4,10,0,23,23,121.1,10.31,3.63,1.41,0.286,74.60%,43.70%,15.80%,93.4,4.3,3.98,4.25,3.96,1.5,19291
Adrian Houser,MIL,9,6,0,26,26,135.1,6.45,4.06,0.73,0.256,73.10%,57.70%,12.90%,94.1,3.33,,4.34,4.4,1.5,12718
Corey Kluber,NYY,5,3,0,16,16,80,9.23,3.71,0.9,0.31,74.40%,42.50%,9.60%,90.3,3.83,4.04,3.85,4.38,1.5,2429
Johnny Cueto,SFG,7,7,0,21,21,112.1,7.61,2.32,1.2,0.324,74.30%,38.30%,12.40%,91.9,4.09,,4.1,4.26,1.5,6893
Matthew Boyd,DET,3,8,0,15,15,78.2,7.67,2.63,1.03,0.294,74.20%,38.40%,9.30%,92.2,3.89,4.18,4.1,4.79,1.4,15440
Huascar Ynoa,ATL,4,6,0,17,17,90,10,2.5,1.4,0.271,73.50%,47.20%,18.70%,96.6,4.1,,3.94,3.38,1.4,20468
Zack Greinke,HOU,11,6,0,29,29,168.2,6.24,1.92,1.55,0.264,75.30%,44.10%,17.00%,89,4.11,,4.69,4.25,1.4,1943
Casey Mize,DET,7,9,0,30,30,150.1,7.06,2.45,1.44,0.254,79.50%,48.10%,16.20%,94.1,3.71,4.92,4.71,4.37,1.3,20492
Michael Pineda,MIN,8,8,0,21,21,106.1,7.19,1.69,1.44,0.295,77.10%,40.10%,13.50%,90.9,3.72,,4.27,4.28,1.3,5372
Austin Gomber,COL,9,9,0,23,23,115.1,8.82,3.2,1.56,0.264,69.50%,44.30%,16.80%,91.8,4.53,4.09,4.61,4.18,1.3,16561
Alec Mills,CHC,4,7,0,20,20,99.1,6.52,2.17,1.18,0.322,66.80%,50.90%,14.80%,88.9,4.8,,4.27,4.13,1.3,13834
James Kaprielian,OAK,8,5,0,21,21,111.1,9.13,3.23,1.37,0.271,80.00%,35.40%,11.70%,93.2,3.8,,4.31,4.62,1.3,18331
Kyle Hendricks,CHC,14,7,0,32,32,181,6.51,2.19,1.54,0.299,73.00%,43.10%,15.60%,87.5,4.77,4.99,4.89,4.61,1.3,12049
Joe Ross,WSN,5,9,0,19,19,103,9.35,2.88,1.49,0.276,73.30%,43.00%,16.20%,93.9,4.02,,4.43,4.09,1.3,12972
Kwang-hyun Kim,STL,6,7,0,21,21,96.2,6.89,3.07,1.02,0.275,76.20%,45.60%,10.90%,89.2,3.63,,4.27,4.63,1.2,27458
Nestor Cortes,NYY,2,3,0,14,14,73.1,9.2,2.09,1.6,0.255,87.40%,24.70%,12.00%,90.8,3.07,,4.21,4.5,1.2,17874
Andrew Heaney,NYY,8,8,0,23,23,120,10.5,3,1.88,0.291,68.00%,33.00%,17.50%,92,5.48,,4.67,4.06,1.2,15423
Domingo German,NYY,4,5,0,18,18,91,8.7,2.47,1.58,0.262,73.60%,41.40%,13.70%,93.4,4.25,,4.41,4.39,1.2,17149
Taijuan Walker,NYM,7,11,0,29,29,154.1,8.16,3.21,1.52,0.246,69.80%,42.20%,14.90%,94.6,4.43,,4.67,4.48,1.2,11836
Erick Fedde,WSN,7,9,0,27,27,131.2,8.61,3.21,1.57,0.306,65.90%,49.70%,18.70%,,5.26,,4.69,4.07,1.1,17425
Yusei Kikuchi,SEA,7,9,0,29,29,157,9.34,3.55,1.55,0.289,74.60%,48.40%,20.60%,95.3,4.41,5.23,4.61,3.85,1.1,20633
Mitch Keller,PIT,5,11,0,23,23,100.2,8.23,4.38,0.89,0.388,68.20%,40.40%,9.30%,94.1,6.17,5.73,4.3,4.9,1.1,17594
Zach Thompson,MIA,2,7,0,14,14,63.2,7.77,3.11,0.85,0.253,67.60%,43.90%,8.60%,92.3,3.25,,3.8,4.51,1.1,16094
Brad Keller,KCR,8,12,0,26,26,133.2,8.08,4.31,1.21,0.347,68.70%,47.80%,14.90%,94.2,5.39,6.52,4.72,4.57,1.1,15734
Triston McKenzie,CLE,5,9,0,24,24,116.1,10.13,4.18,1.62,0.226,67.50%,30.80%,15.10%,92.3,5.03,,4.73,4.5,1.1,18000
Zach Plesac,CLE,10,6,0,25,25,142.2,6.31,2.14,1.45,0.263,67.90%,45.30%,13.30%,93,4.67,4.54,4.73,4.77,1.1,19979
Jose Suarez,LAA,5,7,0,14,14,71,7.48,3.42,1.01,0.272,66.80%,47.20%,11.60%,93,4.44,,4.28,4.53,1,19911
Drew Rasmussen,TBR,3,0,0,10,10,42,6,1.5,0.43,0.197,78.80%,50.40%,5.60%,96.9,1.93,,2.96,3.85,1,25385
Jake Odorizzi,HOU,6,7,0,23,23,100.2,7.87,3.04,1.43,0.276,73.90%,34.60%,11.90%,92.5,4.38,,4.59,4.89,1,6397
Tyler Alexander,DET,1,3,0,15,15,66.2,7.02,2.43,1.22,0.277,81.20%,36.50%,9.80%,90.4,3.38,,4.31,4.99,1,17735
Trevor Williams,CHC,4,2,0,15,15,68.2,8.78,3.28,1.18,0.347,77.10%,45.40%,13.60%,91.9,4.33,,4.1,4.09,1,16977
Bailey Ober,MIN,3,3,0,20,20,92.1,9.36,1.85,1.95,0.296,79.80%,33.10%,16.80%,92.4,4.19,4.57,4.56,4.01,1,21224
Paolo Espino,WSN,5,4,0,19,19,86,7.53,2.2,1.67,0.296,77.00%,37.00%,15.20%,89,4.5,,4.68,4.42,0.9,8246
Brett Anderson,MIL,4,9,0,24,24,96,5.44,2.63,1.03,0.294,68.60%,57.50%,16.90%,89.3,4.22,5.85,4.39,4.09,0.9,8223
Ryan Yarbrough,TBR,5,5,0,21,21,117,6.69,1.46,1.69,0.294,59.90%,35.70%,15.00%,86.6,5.46,,4.69,4.46,0.9,16502
Matt Manning,DET,4,7,0,18,18,85.1,6.01,3.48,1.05,0.305,61.90%,44.50%,10.20%,93.7,5.8,5.48,4.62,5.13,0.9,20369
Jack Flaherty,STL,9,2,0,15,15,76.1,9.67,2.95,1.41,0.233,74.10%,38.70%,16.00%,94,3.3,,4.28,3.97,0.8,17479
Tarik Skubal,DET,8,11,0,29,29,143.2,9.96,2.76,2.13,0.274,80.50%,38.60%,21.00%,94.6,4.39,,5.06,3.97,0.8,22267
Chris Sale,BOS,5,1,0,9,9,42.2,10.97,2.53,1.27,0.358,79.80%,47.40%,16.70%,93.9,3.16,3.47,3.69,3.35,0.8,10603
Jorge Lopez,BAL,3,14,0,25,25,113.1,8.1,4.29,1.51,0.347,68.60%,49.40%,18.80%,95.1,6.35,,5.24,4.64,0.8,14527
Aaron Civale,CLE,12,5,0,21,21,124.1,7.17,2.24,1.66,0.249,78.50%,45.00%,17.20%,91.5,3.84,4.79,4.83,4.32,0.8,19479
David Price,LAD,0,2,0,11,11,41.1,7.4,2.4,0.87,0.27,69.10%,54.40%,9.50%,92.9,3.92,,3.65,4.19,0.8,3184
Dallas Keuchel,CHW,9,9,0,30,30,156.1,5.18,3.28,1.32,0.304,67.80%,55.20%,17.40%,89.1,5.18,,5.16,4.74,0.7,9434
Jakob Junis,KCR,1,3,0,6,6,27.1,10.21,2.63,0.99,0.324,63.80%,41.90%,11.10%,90.6,4.61,,3.21,3.52,0.7,13619
Cristian Javier,HOU,3,1,0,9,9,48.2,10.73,3.88,1.29,0.21,83.30%,29.50%,12.50%,93.2,3.14,,4.14,4.3,0.7,17606
Wily Peralta,DET,4,5,0,18,18,92.1,5.56,3.61,1.17,0.261,78.20%,50.80%,13.50%,93.9,3.12,,4.96,4.97,0.7,7738
Jake Woodford,STL,2,3,0,8,8,37,5.84,2.68,0.49,0.32,67.70%,37.70%,4.40%,92.3,4.14,,3.55,4.99,0.7,18674
Luke Weaver,ARI,3,6,0,13,13,65.2,8.5,2.74,1.51,0.26,70.80%,38.30%,14.70%,93.7,4.25,4.63,4.42,4.26,0.7,16918
Tylor Megill,NYM,4,6,0,18,18,89.2,9.94,2.71,1.91,0.297,78.50%,42.40%,18.80%,94.7,4.52,3.84,4.69,3.92,0.6,21318
Kyle Muller,ATL,2,4,0,8,8,35.2,9.08,5.05,0.5,0.227,70.40%,35.60%,5.10%,93.4,3.79,,3.73,4.93,0.6,20167
Vladimir Gutierrez,CIN,9,6,0,22,22,114,6.95,3.63,1.58,0.281,75.90%,43.40%,14.30%,93.4,4.74,4.57,5.22,5.11,0.6,19278
Joe Ryan,MIN,2,1,0,5,5,26.2,10.13,1.69,1.35,0.197,58.40%,28.10%,11.80%,91.3,4.05,2.99,3.43,3.73,0.6,21390
Tony Gonsolin,LAD,3,1,0,13,13,50.1,10.55,5.19,1.25,0.242,88.80%,37.10%,12.30%,93.9,2.86,,4.36,4.55,0.6,19388
Carlos Hernandez,KCR,5,2,0,11,11,58.1,5.86,4.01,0.77,0.25,76.80%,38.70%,7.40%,96.8,3.55,,4.47,5.42,0.6,22713
Josh Fleming,TBR,4,5,0,11,11,56.1,6.23,3.2,0.96,0.321,60.60%,56.70%,12.50%,91.5,6.23,,4.29,4.41,0.6,20418
Glenn Otto,TEX,0,3,0,6,6,23.1,10.8,3.09,0.77,0.423,45.90%,44.40%,10.50%,92.7,9.26,5.23,3.17,3.49,0.6,21366
Marco Gonzales,SEA,10,6,0,25,25,143.1,6.78,2.64,1.82,0.239,82.20%,32.20%,14.20%,88.5,3.96,5.06,5.28,5.16,0.6,15467
Dinelson Lamet,SDP,1,3,0,9,9,29.1,9.51,2.76,1.23,0.345,80.20%,37.90%,11.40%,95.5,3.99,,3.85,4.18,0.6,17186
Carlos Martinez,STL,4,9,0,16,16,82.1,6.23,3.94,0.87,0.275,58.50%,50.20%,10.80%,93.8,6.23,5.96,4.76,5.08,0.6,11682
Trevor Cahill,PIT,1,5,0,8,8,35.2,7.32,2.78,1.01,0.333,51.70%,55.70%,13.30%,91,6.81,,4.01,4.04,0.5,6249
Michael Kopech,CHW,1,0,0,4,4,14,14.79,1.93,1.29,0.217,97.20%,44.00%,22.20%,96.2,1.93,,2.38,1.66,0.5,17282
Joey Lucchesi,NYM,0,3,0,8,8,31.1,9.48,2.59,1.15,0.304,71.00%,38.80%,11.80%,91.2,4.31,,3.68,3.94,0.5,19320
Martin Perez,BOS,7,8,0,22,22,100,7.65,2.97,1.53,0.338,74.20%,42.00%,16.50%,93.3,4.77,,4.91,4.52,0.5,6902
Daniel Lynch,KCR,4,6,0,15,15,68,7.28,4.1,1.19,0.335,67.40%,38.80%,11.00%,93.9,5.69,6.4,4.82,5.22,0.5,21537
Dillon Peters,PIT,1,2,0,6,6,26.2,7.76,3.38,0.68,0.296,73.10%,48.20%,7.10%,91.1,3.71,4.48,3.66,4.54,0.5,18790
J.A. Happ,STL,10,8,0,30,30,152.1,7.21,2.84,1.77,0.314,68.80%,35.00%,13.70%,91.2,5.79,5.55,5.13,5.11,0.5,7410
Collin McHugh,TBR,0,0,0,7,7,12,9,0.75,0,0.214,100.00%,42.90%,0.00%,91.1,0,,1.42,2.74,0.5,7531
Jaime Barria,LAA,2,4,0,11,11,50.2,6.04,2.49,1.42,0.335,84.10%,44.40%,14.50%,93.1,3.91,,4.83,4.69,0.5,18356
Dustin May,LAD,1,1,0,5,5,23,13.7,2.35,1.57,0.255,86.20%,56.00%,40.00%,98.8,2.74,3.2,3.3,1.81,0.5,19716
Reiver Sanmartin,CIN,2,0,0,2,2,11.2,8.49,1.54,0,0.353,85.70%,47.10%,0.00%,89.9,1.54,3.17,1.8,3.46,0.5,19754
Miles Mikolas,STL,2,3,0,9,9,44.2,6.25,2.22,1.21,0.272,67.20%,49.30%,14.60%,93.6,4.23,4.57,4.4,4.27,0.5,9803
Justin Dunn,SEA,1,3,0,11,11,50.1,8.76,5.19,1.07,0.238,79.50%,33.80%,8.70%,93.8,3.75,5.02,4.74,5.61,0.5,19268
Luis Patino,TBR,3,3,0,15,15,68.1,8.3,3.82,1.45,0.277,71.10%,30.10%,10.80%,96,4.74,,4.82,5.36,0.5,22815
Max Kranick,PIT,2,3,0,9,9,38.2,7.45,4.42,0.93,0.35,65.20%,33.10%,7.40%,94.3,6.28,4.57,4.64,5.76,0.5,22175
Ross Stripling,TOR,5,6,0,19,19,86.1,8.76,2.71,1.98,0.273,77.00%,34.00%,16.40%,91.7,4.69,,5.02,4.53,0.5,13273
Aaron Sanchez,SFG,1,1,0,7,7,30.1,7.12,3.26,0.59,0.283,79.60%,55.30%,7.70%,90.4,3.26,,3.93,4.58,0.4,11490
Luis Gil,NYY,1,1,0,6,6,29.1,11.66,5.83,1.23,0.239,84.30%,32.40%,10.80%,96.1,3.07,3.98,4.4,4.85,0.4,21052
Adbert Alzolay,CHC,4,13,0,21,21,106.1,9.06,2.71,2.03,0.261,70.40%,44.90%,23.50%,93.9,5.16,,5.14,3.89,0.4,17859
Reynaldo Lopez,CHW,2,3,0,9,9,37.1,7.96,2.41,1.69,0.253,65.20%,42.50%,17.90%,95.6,4.1,,4.64,4.05,0.4,16400
Eli Morgan,CLE,5,7,0,18,18,89.1,8.16,2.22,2.01,0.278,70.50%,29.20%,14.70%,90.6,5.34,5.26,5.14,4.92,0.4,20203
Garrett Richards,BOS,6,7,0,22,22,110.1,7.1,3.92,1.47,0.335,72.30%,46.60%,15.70%,94.4,5.22,,5.15,4.87,0.4,9784
Tyler Gilbert,ARI,2,1,0,6,6,36.1,4.95,2.72,0.99,0.206,67.90%,38.30%,8.70%,89.8,3.47,,4.49,5.29,0.4,17964
Sam Hentges,CLE,0,4,0,12,12,41,7.9,5.93,0.88,0.374,56.50%,44.40%,8.30%,94.4,7.9,,4.66,5.46,0.4,18548
Jesus Luzardo,MIA,5,8,0,18,18,85.1,9.28,4.64,1.48,0.328,65.10%,38.40%,14.10%,95.7,6.22,,4.93,4.84,0.3,19959
David Peterson,NYM,2,6,0,15,15,66.2,9.32,3.92,1.49,0.306,65.40%,49.20%,22.40%,92.8,5.54,5.92,4.78,3.93,0.3,20302
Bruce Zimmermann,BAL,3,5,0,13,13,58.2,7.67,3.22,1.99,0.335,77.10%,38.40%,19.70%,91.5,5.37,,5.52,4.63,0.3,20370
John Gant,MIN,5,11,0,21,21,89.2,7.33,6.12,0.9,0.277,73.30%,47.70%,12.20%,91.9,4.42,,5.02,5.17,0.3,13684
Anthony Kay,TOR,1,2,0,5,5,20.1,11.07,4.43,0.89,0.346,71.90%,44.40%,15.40%,94.4,4.43,,3.76,3.61,0.3,20387
JT Brubaker,PIT,5,13,0,24,24,124.1,9.34,2.75,2.03,0.284,72.60%,42.80%,22.40%,93.2,5.36,4.67,5.16,4,0.3,17578
Jose Quintana,LAA,0,3,0,10,10,35,13.11,6.69,1.54,0.426,55.00%,42.90%,20.00%,91.3,8.23,,4.71,4,0.3,11423
Chris Rodriguez,LAA,0,1,0,2,2,10,8.1,3.6,0,0.333,66.70%,43.30%,0.00%,94.4,3.6,,2.87,4.46,0.3,22310
Sammy Long,SFG,2,1,0,5,5,22.1,9.27,2.82,1.21,0.279,71.40%,39.10%,10.00%,92.3,4.43,,3.93,4.55,0.3,25379
Corey Knebel,LAD,0,0,0,4,4,5.2,6.35,0,0,0.333,83.30%,44.40%,0.00%,96,1.59,,1.76,3.94,0.3,15010
Chris Ellis,BAL,0,0,0,6,6,25.1,5.68,4.62,1.07,0.211,90.30%,27.40%,9.40%,93.7,2.49,,5.22,5.91,0.3,16125
Jose Urena,DET,2,8,0,18,18,83,5.86,4.01,1.3,0.316,64.60%,52.70%,15.60%,94.4,5.96,,5.23,4.99,0.3,11589
Jake Faria,ARI,0,0,0,3,3,13,6.92,2.77,0.69,0.318,69.90%,36.40%,5.60%,91.9,4.85,,3.79,5.23,0.3,13699
Keegan Akin,BAL,2,10,0,17,17,77,7.6,4.44,1.87,0.316,65.70%,35.10%,15.00%,92,6.9,,5.74,5.49,0.3,19362
Braxton Garrett,MIA,1,2,0,7,7,31,8.71,5.52,0.87,0.387,76.60%,37.80%,11.10%,90.4,4.65,,4.43,4.71,0.2,21844
Dominic Leone,SFG,0,1,0,4,4,5.1,6.75,0,0,0.2,33.30%,33.30%,0.00%,96,3.38,,1.67,4.65,0.2,13763
Taylor Hearn,TEX,4,4,0,11,11,51,6.53,2.65,1.59,0.282,62.50%,38.20%,13.20%,94.8,5.82,,4.95,5.01,0.2,18325
Charlie Barnes,MIN,0,3,0,8,8,33.1,4.59,3.78,0.81,0.319,63.20%,40.50%,6.40%,89.9,5.94,,4.94,6.26,0.2,19865
Jeff Hoffman,CIN,3,5,0,11,11,45,7.8,6,1.2,0.291,68.50%,35.50%,11.50%,93.8,5.2,,5.3,5.61,0.2,17432
Spenser Watkins,BAL,2,7,0,10,10,46,6.26,3.33,1.76,0.331,58.70%,34.80%,14.80%,90.7,7.63,,5.56,5.36,0.2,17489
Steven Brault,PIT,0,3,0,7,7,27.2,6.18,3.9,0.98,0.326,67.00%,43.50%,8.80%,91,5.86,5.88,4.62,5.37,0.2,15291
Brandon Bielak,HOU,0,1,0,2,2,5.2,14.29,6.35,0,0.5,72.70%,42.90%,0.00%,94.5,4.76,,2.11,3.67,0.2,19866
Tucker Davidson,ATL,0,0,0,4,4,20,8.1,3.6,1.35,0.222,79.80%,41.10%,14.30%,93,3.6,6.08,4.52,4.42,0.2,19871
Craig Stammen,SDP,0,0,0,4,4,8,5.63,3.38,0,0.448,68.80%,72.40%,0.00%,,5.63,,3.05,3.49,0.2,7274
Shane Baz,TBR,2,0,0,3,3,13.1,12.15,2.03,2.03,0.12,100.00%,42.90%,23.10%,97.1,2.03,2.55,4.07,2.87,0.2,22264
Spencer Howard,TEX,0,5,0,15,15,43.2,8.45,4.53,1.44,0.304,51.50%,37.40%,13.20%,94,7.21,,5.09,5.15,0.2,23252
Griffin Canning,LAA,4,4,0,13,13,60.1,8.95,4.18,1.94,0.301,71.80%,34.80%,17.80%,93.6,5.52,,5.42,4.76,0.2,19867
Aaron Ashby,MIL,1,0,0,4,4,11.2,6.94,3.09,0.77,0.289,47.90%,63.20%,16.70%,96.1,4.63,,3.77,3.56,0.2,23550
Josiah Gray,WSN,2,2,0,13,13,66.2,9.32,4.32,2.16,0.251,75.10%,30.90%,16.80%,94.5,5.27,,5.75,5.14,0.2,24580
Dakota Hudson,STL,0,0,0,1,1,5,7.2,1.8,0,0.231,100.00%,69.20%,0.00%,92.5,0,,2.17,3.23,0.2,19206
Patrick Corbin,WSN,9,16,0,31,31,171.2,7.5,3.15,1.94,0.305,69.40%,47.20%,22.60%,92.4,5.82,5.66,5.41,4.29,0.2,9323
Michael Fulmer,DET,1,2,0,4,4,12.2,4.97,3.55,0.71,0.256,51.30%,54.50%,8.30%,95.5,4.97,,4.28,4.92,0.2,13218
Angel Zerpa,KCR,0,1,0,1,1,5,7.2,1.8,0,0.2,50.00%,42.90%,0.00%,94.3,0,3.25,2.17,3.23,0.2,22717
Drew Smith,NYM,0,0,0,1,1,2,13.5,0,0,0.4,50.00%,20.00%,0.00%,95.4,0,,0.17,2.82,0.2,17755
Jesse Chavez,ATL,0,1,0,4,4,7,6.43,3.86,0,0.2,71.40%,30.00%,0.00%,91.3,2.57,,3.03,5.55,0.2,5448
Kohl Stewart,CHC,1,1,0,3,3,12.2,7.11,3.55,0.71,0.375,64.80%,50.00%,9.10%,91.8,5.68,,4.28,4.78,0.2,15502
Chi Chi Gonzalez,COL,2,6,0,18,18,87,4.97,2.38,1.76,0.317,64.80%,40.10%,17.00%,92,6.62,,5.61,5.09,0.2,14663
Riley Smith,ARI,1,4,0,6,6,25,2.88,2.16,1.08,0.357,55.30%,44.00%,8.80%,92.7,7.92,,4.81,5.65,0.2,19826
