Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR
Carlos Martinez,STL,4,9,0,16,16,82.1,6.23,3.94,0.87,0.275,58.50%,50.20%,10.80%,93.8,6.23,5.96,4.76,5.08,0.6
Jon Lester,STL,4,1,0,12,12,66,5.45,3.55,1.5,0.277,76.90%,45.80%,16.70%,88.6,4.36,,5.4,5,0
Tyler Glasnow,TBR,5,2,0,14,14,88,12.58,2.76,1.02,0.25,82.40%,45.30%,14.30%,97.3,2.66,2.76,2.77,2.7,2.5
Shane McClanahan,TBR,10,6,0,25,25,123.1,10.29,2.7,1.02,0.328,78.90%,45.50%,14.30%,96.7,3.43,4.6,3.31,3.23,2.5
Michael Wacha,TBR,3,5,0,23,23,107.1,8.55,2.18,1.34,0.308,70.30%,39.40%,14.30%,93.9,4.53,,4.05,3.95,1.5
Ryan Yarbrough,TBR,5,5,0,21,21,117,6.69,1.46,1.69,0.294,59.90%,35.70%,15.00%,86.6,5.46,,4.69,4.46,0.9
Rich Hill,TBR,6,4,0,19,19,95.1,8.59,3.4,1.32,0.254,78.50%,40.40%,13.70%,88.7,3.87,,4.55,4.53,0.6
Kyle Gibson,TEX,6,3,0,19,19,113,7.49,3.27,0.72,0.267,79.70%,50.80%,9.90%,93.4,2.87,,3.76,4.15,1.9
Dane Dunning,TEX,5,10,0,25,25,114.2,8.56,3.38,0.94,0.334,72.00%,53.90%,13.60%,,4.55,,3.94,3.93,1.8
Jordan Lyles,TEX,9,13,0,30,30,167,7.54,2.86,2.05,0.307,75.20%,37.60%,18.90%,93.4,5.39,,5.53,4.69,-0.2
Kolby Allard,TEX,2,12,0,17,17,91.2,6.58,1.87,2.26,0.252,66.00%,37.60%,18.40%,91.8,5.4,,5.69,4.83,-0.2
Mike Foltynewicz,TEX,2,12,0,24,24,130,6.3,2.28,2.35,0.258,73.00%,36.20%,19.30%,94.2,5.54,,6.14,5.13,-0.8
Robbie Ray,TOR,13,7,0,32,32,193.1,11.54,2.42,1.54,0.268,90.10%,37.20%,15.90%,94.6,2.84,3.6,3.69,3.36,3.9
Steven Matz,TOR,14,7,0,29,29,150.2,8.6,2.57,1.08,0.321,75.40%,45.50%,12.30%,,3.82,4.09,3.79,3.94,2.8
Hyun-Jin Ryu,TOR,14,10,0,31,31,169,7.62,1.97,1.28,0.295,70.70%,46.80%,14.10%,89.8,4.37,4.48,4.02,3.94,2.5
Alek Manoah,TOR,9,2,0,20,20,111.2,10.24,3.22,0.97,0.246,76.60%,38.80%,10.70%,93.5,3.22,3.32,3.8,4.17,2
Ross Stripling,TOR,5,6,0,19,19,86.1,8.76,2.71,1.98,0.273,77.00%,34.00%,16.40%,91.7,4.69,,5.02,4.53,0.5
Max Scherzer,WSN,8,4,0,19,19,111,11.92,2.27,1.46,0.233,86.80%,32.40%,14.60%,94.4,2.76,,3.6,3.45,2.5
Joe Ross,WSN,5,9,0,19,19,103,9.35,2.88,1.49,0.276,73.30%,43.00%,16.20%,93.9,4.02,,4.43,4.09,1.3
Erick Fedde,WSN,7,9,0,27,27,131.2,8.61,3.21,1.57,0.306,65.90%,49.70%,18.70%,,5.26,,4.69,4.07,1.1
Paolo Espino,WSN,5,4,0,19,19,86,7.53,2.2,1.67,0.296,77.00%,37.00%,15.20%,89,4.5,,4.68,4.42,0.9
Patrick Corbin,WSN,9,16,0,31,31,171.2,7.5,3.15,1.94,0.305,69.40%,47.20%,22.60%,92.4,5.82,5.66,5.41,4.29,0.2
