Home_Team,Home_Team_Win_Pct,Pct_Win_Home,Home_Odds,Casino_Odds,Pct_Diff,Away_Team,Away_Team_Win_Pct,Pct_Win_Away,Away_Odds,Casino_Odds,Pct_Diff
TBR,,,,,,BOS,,,,,
DET,,,,,,COL,,,,,
NYY,,,,,,CLE,,,,,
ATL,,,,,,MIA,,,,,
WSN,,,,,,SFG,,,,,
CIN,,,,,,STL,,,,,
MIN,,,,,,CHW,,,,,
HOU,,,,,,TOR,,,,,
CHC,,,,,,PIT,,,,,
LAA,,,,,,BAL,,,,,
OAK,,,,,,TEX,,,,,
SEA,,,,,,KCR,,,,,
SDP,,,,,,LAD,,,,,
ARI,,,,,,NYM,,,,,
PHI,,,,,,MIL,,,,,
