Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Braulio Vasquez,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.186,0.237,0.264,0.501,0.223,34,0,0,-0.1,0,0,999,sa924858
Landon Stephens,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.238,0.318,0.557,0.243,47,0,0,-0.1,0,0,999,sa3014884
Calvin Conley,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.225,0.255,0.48,0.213,27,0,0,-0.1,0,0,999,sa3017080
Willie Carter,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.247,0.288,0.535,0.236,42,0,0,-0.1,0,0,999,sa1170876
Cameron Shepherd,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.172,0.219,0.23,0.449,0.202,20,0,0,-0.1,0,0,999,sa3014879
Bryson Horne,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.235,0.308,0.543,0.236,42,0,0,-0.1,0,0,999,sa3014891
Christian Robinson,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.183,0.222,0.272,0.494,0.217,30,0,0,-0.1,0,0,999,sa3017074
Brandon Parker,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.168,0.219,0.272,0.491,0.217,30,0,0,-0.1,0,0,999,sa1169878
Connor Blair,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.167,0.218,0.253,0.471,0.21,25,0,0,-0.1,0,0,999,sa3011382
Brett Langhorne,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.171,0.233,0.252,0.484,0.218,30,0,0,-0.1,0,0,999,sa3007064
Stephen Paolini,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148,0.197,0.22,0.417,0.187,10,0,0,-0.1,0,0,999,sa3010720
Geraldo Quintero,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.161,0.188,0.212,0.401,0.178,4,0,0,-0.1,0,0,999,sa3008942
Francisco Floyd,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.151,0.18,0.195,0.375,0.167,-2,0,0,-0.1,0,0,999,sa3008821
Eliezel Stevens,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.156,0.187,0.209,0.396,0.176,3,0,0,-0.1,0,0,999,sa3005773
Jose Palma,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148,0.183,0.212,0.394,0.176,3,0,0,-0.1,0,0,999,sa3003411
Jose Dilone,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148,0.181,0.215,0.395,0.175,3,0,0,-0.1,0,0,999,sa3008820
Andrew Waters,ATL,17,72,65,16,4,0,2,8,7,5,22,1,2,1,0.242,0.3,0.38,0.68,0.296,81,0,0,-1.7,-0.7,0,600.3,sa3004378
Brandol Mezquita,ATL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.147,0.178,0.219,0.397,0.175,3,0,0,-0.1,0,0,999,sa3006201
