Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Jonathan Diaz,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.22,0.271,0.491,0.216,28,0,0,-0.1,0,0,999,sa3005290
Tyler McDonough,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.244,0.289,0.533,0.235,40,0,0,-0.1,0,0,999,sa3016869
Jerry Downs,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.256,0.334,0.59,0.258,56,0,0,-0.1,0,0,999,sa875630
Brainer Bonaci,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.222,0.269,0.491,0.215,27,0,0,-0.1,0,0,999,sa3008836
Nicholas Decker,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.193,0.243,0.303,0.546,0.239,43,0,0,-0.1,0,0,999,sa3008590
Antoni Flores,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.231,0.251,0.481,0.214,26,0,0,-0.1,0,0,999,sa3005489
Dean Miller,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.184,0.23,0.302,0.532,0.233,39,0,0,-0.1,0,0,999,sa1056110
Ricardo Cubillan,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.234,0.237,0.471,0.212,25,0,0,-0.1,0,0,999,sa917089
Angel Maita,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.194,0.238,0.276,0.514,0.227,35,0,0,-0.1,0,0,999,sa3005556
Coleman Brannen,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.242,0.263,0.505,0.226,35,0,0,-0.1,0,0,999,sa3004616
Dominic D'Alessandro,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.19,0.235,0.307,0.543,0.236,41,0,0,-0.1,0,0,999,sa3010900
Eduardo Vaughan,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.153,0.183,0.226,0.409,0.18,4,0,0,-0.1,0,0,999,sa3008810
Eddinson Paulino,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.156,0.183,0.206,0.389,0.173,-2,0,0,-0.1,0,0,999,sa3009538
Freddy Valdez,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.185,0.234,0.419,0.184,6,0,0,-0.1,0,0,999,sa3009190
Bryan Gonzalez,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.151,0.181,0.236,0.416,0.183,5,0,0,-0.1,0,0,999,sa3008805
Axel James,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148,0.188,0.218,0.406,0.181,4,0,0,-0.1,0,0,999,sa3008806
Darel Belen,BOS,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148,0.184,0.225,0.409,0.181,4,0,0,-0.1,0,0,999,sa3008939
