Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Enrique Valdez,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.206,0.238,0.444,0.196,17,0,0,-0.1,0,0,999,sa3005568
Juan Negret,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.218,0.289,0.507,0.223,35,0,0,-0.1,0,0,999,sa3003430
Burle Dixon,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.227,0.263,0.49,0.218,31,0,0,-0.1,0,0,999,sa1170041
Brady McConnell,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.164,0.207,0.237,0.444,0.198,18,0,0,-0.1,0,0,999,sa3010331
Jean Ramirez,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.175,0.226,0.26,0.486,0.216,30,0,0,-0.1,0,0,999,sa3008452
Guillermo Quintana,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.15,0.184,0.208,0.392,0.175,2,0,0,-0.1,0,0,999,sa3005916
Michael Emodi,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.143,0.182,0.206,0.388,0.174,2,0,0,-0.1,0,0,999,sa3007318
Saul Garza,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.224,0.276,0.5,0.22,33,0,0,-0.1,0,0,999,sa3015225
Enmanuel Pire,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.147,0.178,0.201,0.379,0.169,-2,0,0,-0.1,0,0,999,sa3005562
Wilmin Candelario,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.158,0.184,0.212,0.396,0.175,3,0,0,-0.1,0,0,999,sa3008834
Reed Rohlman,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.226,0.261,0.487,0.215,30,0,0,-0.1,0,0,999,sa915632
Felix Familia,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.188,0.231,0.251,0.482,0.215,29,0,0,-0.1,0,0,999,sa3003213
Francis Grullon,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.164,0.194,0.217,0.411,0.183,8,0,0,-0.1,0,0,999,sa3005927
Edgar Martinez,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.19,0.208,0.398,0.177,4,0,0,-0.1,0,0,999,sa3005790
Omar Florentino,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.181,0.205,0.386,0.171,0,0,0,-0.1,0,0,999,sa3008758
Junior Calderon,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.165,0.205,0.233,0.439,0.195,16,0,0,-0.1,0,0,999,sa3008919
Jaswel De Los Santos,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.152,0.18,0.218,0.397,0.175,3,0,0,-0.1,0,0,999,sa3008838
Rothaikeg Seijas,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.145,0.177,0.212,0.388,0.172,0,0,0,-0.1,0,0,999,sa3008859
David Hollie,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.139,0.173,0.205,0.378,0.168,-2,0,0,-0.1,0,0,999,sa3007304
Diego Maican,KCR,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.147,0.178,0.211,0.389,0.173,1,0,0,-0.1,0,0,999,sa3006564
