Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Warming Bernabel,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.202,0.237,0.305,0.542,0.236,32,0,0,-0.1,0,0,999,sa3008761
Julio Carreras,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.209,0.244,0.295,0.539,0.236,31,0,0,-0.1,0,0,999,sa3005598
Mateo Gil,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.207,0.24,0.296,0.536,0.234,30,0,0,-0.1,0,0,999,sa3007050
Alfred Lewis,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.257,0.302,0.559,0.247,39,0,0,-0.1,0,0,999,sa3015014
John Cresto,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.201,0.241,0.324,0.565,0.245,38,0,0,-0.1,0,0,999,sa3006782
Adrian Pinto,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.197,0.235,0.261,0.495,0.219,21,0,0,-0.1,0,0,999,sa3015542
Colin Simpson,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.198,0.245,0.317,0.562,0.244,37,0,0,-0.1,0,0,999,sa1159681
Yorvis Torrealba,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.214,0.264,0.478,0.21,14,0,0,-0.1,0,0,999,sa3010343
Sandry Hernandez,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.181,0.217,0.253,0.469,0.207,13,0,0,-0.1,0,0,999,sa3015649
Luis Mendez,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.17,0.203,0.233,0.436,0.193,4,0,0,-0.1,0,0,999,sa3015650
Juan Brito,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.176,0.202,0.241,0.443,0.195,5,0,0,-0.1,0,0,999,sa3009808
Francisco Garcia,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.163,0.197,0.243,0.44,0.194,4,0,0,-0.1,0,0,999,sa3015677
Aiverson Rodriguez,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.204,0.232,0.436,0.193,3,0,0,-0.1,0,0,999,sa3008824
Trevor Boone,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.177,0.216,0.286,0.502,0.219,21,0,0,-0.1,0,0,999,sa3010336
Pedro Mota,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.166,0.202,0.225,0.427,0.19,2,0,0,-0.1,0,0,999,sa3008800
Jean Perez,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.173,0.199,0.23,0.428,0.189,1,0,0,-0.1,0,0,999,sa3011632
Fadriel Cruz,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.179,0.219,0.238,0.457,0.204,10,0,0,-0.1,0,0,999,sa3005476
Gerard Ramos,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.172,0.207,0.266,0.474,0.208,13,0,0,-0.1,0,0,999,sa3005536
Juan Guerrero,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.166,0.192,0.245,0.437,0.191,2,0,0,-0.1,0,0,999,sa3008759
Walking Cabrera,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.189,0.239,0.428,0.188,0,0,0,-0.1,0,0,999,sa3005240
Cole Zabowski,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.162,0.19,0.245,0.435,0.19,2,0,0,-0.1,0,0,999,sa3010682
Francisco Ortiz,COL,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.156,0.191,0.22,0.412,0.183,-3,0,0,-0.1,0,0,999,sa3003419
Kyle Holder,COL,3,13,12,3,1,0,0,1,1,1,3,0,0,0,0.237,0.291,0.334,0.625,0.275,57,0,0,-0.8,0.2,0,999,sa857840
Ryan Vilade,COL,24,95,87,23,5,1,2,10,10,6,17,1,2,1,0.268,0.318,0.391,0.708,0.307,78,-0.1,-0.2,-2.8,-1.2,-0.1,999,22165
Garrett Hampson,COL,110,442,400,98,18,4,10,46,45,33,107,3,16,6,0.245,0.304,0.382,0.686,0.297,71,1.2,-4.3,-15.1,-0.6,-0.1,277.3,19262
Ian Desmond,COL,63,256,231,50,10,1,7,27,27,19,68,2,3,1,0.216,0.281,0.359,0.64,0.279,74,-0.3,-2.3,-8.7,-5,-0.5,999,6885
