Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC,BsR,Fld,Off,Def,WAR,ADP,playerid
Cory Wood,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.172,0.214,0.231,0.444,0.199,21,0,0,-0.1,0,0,999,sa3010330
Jasiah Dixon,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.174,0.216,0.253,0.469,0.208,27,0,0,-0.1,0,0,999,sa3011590
Deivis Nadal,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.158,0.188,0.212,0.399,0.177,7,0,0,-0.1,0,0,999,sa3008879
Claudio Finol,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.185,0.223,0.246,0.469,0.209,28,0,0,-0.1,0,0,999,sa3003256
Luis Tejeda,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.153,0.179,0.202,0.38,0.169,2,0,0,-0.1,0,0,999,sa3008913
Juan Jerez,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.16,0.184,0.22,0.404,0.178,7,0,0,-0.1,0,0,999,sa3008892
Rayber Romero,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.186,0.212,0.398,0.176,7,0,0,-0.1,0,0,999,sa3009316
Norkis Marcos,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.17,0.21,0.225,0.435,0.195,18,0,0,-0.1,0,0,999,sa3005575
Randy Romero,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.159,0.187,0.226,0.413,0.182,10,0,0,-0.1,0,0,999,sa3006185
Rodolfo Nolasco,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.154,0.182,0.229,0.41,0.18,9,0,0,-0.1,0,0,999,sa3008907
Angel Basabe,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148,0.181,0.218,0.399,0.176,7,0,0,-0.1,0,0,999,sa3006432
Franrielis Bastardo,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.146,0.178,0.222,0.4,0.176,7,0,0,-0.1,0,0,999,sa3008894
Darwin Baez,PIT,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.148,0.18,0.211,0.392,0.174,5,0,0,-0.1,0,0,999,sa3005614
Jared Oliva,PIT,18,69,63,15,3,1,1,6,7,5,17,1,2,1,0.236,0.296,0.353,0.649,0.283,76,0,-0.2,-2.1,-1.1,-0.1,999,19968
Anthony Alford,PIT,103,428,380,86,17,2,13,45,49,37,143,6,14,6,0.225,0.3,0.379,0.68,0.295,83,0.1,-1.2,-8.9,-6.5,-0.1,558.1,14329
