Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Tyler Yankosky,WSN,0,0,5.83,0,1,0,1,1,1,0,1,1,1.81,5.95,6.13,5.88,0,0,999,sa1170108
Edward Urena,WSN,0,0,6.1,0,1,0,1,1,1,0,1,1,1.84,6.4,6.54,6.17,0,0,999,sa3015161
Chandler Day,WSN,0,0,6.22,0,1,0,1,1,1,0,1,1,1.84,6.01,6.35,6.25,0,0,999,sa3008021
Juan Diaz,WSN,0,0,6.28,0,1,0,1,1,1,0,1,1,1.95,5.8,7.38,6.48,0,0,999,sa3003065
Bryan Pena,WSN,0,0,6.5,0,1,0,1,1,1,0,1,1,1.9,5.89,6.87,6.62,0,0,999,sa3006483
Jose Ferrer,WSN,0,0,6.87,0,1,0,1,1,1,0,1,1,2.15,5.84,9.24,7.12,0,0,999,sa3006373
Moises Diaz,WSN,0,0,7.14,0,1,0,1,1,1,0,1,1,2.11,4.85,8.38,7.27,0,0,999,sa3005464
Kevin Rodriguez,WSN,0,0,7.45,0,1,0,1,1,1,0,1,1,2.2,5.55,9.39,7.47,0,0,999,sa3008683
Jose Mercedes,WSN,0,0,7.69,0,1,0,1,1,1,0,1,1,2.21,5.01,9.19,7.68,0,0,999,sa3008681
Sebastian Olivero,WSN,0,0,7.81,0,1,0,1,1,1,0,1,1,2.3,4.95,10.23,7.94,0,0,999,sa3009522
