Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Gabriel Rodriguez,ATL,0,0,5.97,0,1,0,1,1,1,0,1,1,1.95,7.98,8.43,6.25,0,0,999,sa3007219
Estarlin Rodriguez,ATL,0,0,6.33,0,1,0,1,1,1,0,1,1,1.86,5.55,6.32,6.36,0,0,999,sa3004871
Zach Seipel,ATL,0,0,6.35,0,1,0,1,1,1,0,1,1,1.9,6.09,6.99,6.4,0,0,999,sa3007783
Ronaldo Alesandro,ATL,0,0,6.62,0,1,0,1,1,1,0,1,1,2.07,6.45,8.8,6.76,0,0,999,sa3007627
Filyer Sanchez,ATL,0,0,6.8,0,1,0,1,1,1,0,1,1,2.02,4.99,7.5,6.9,0,0,999,sa872848
Osiris Sierra,ATL,0,0,6.78,0,1,0,1,1,1,0,1,1,2.09,5.33,8.4,6.94,0,0,999,sa3009215
Jordano Perez,ATL,0,0,7.1,0,1,0,1,1,1,0,1,1,2.08,5.09,8.1,7.12,0,0,999,sa3008690
Frankelvin Vidal,ATL,0,0,7.43,0,1,0,1,1,1,0,1,1,2.23,5.64,9.75,7.49,0,0,999,sa3009465
Kevin Solano,ATL,0,0,7.46,0,1,0,1,1,1,0,1,1,2.23,5.37,9.64,7.52,0,0,999,sa3009245
Cesari Moreno,ATL,0,0,7.58,0,1,0,1,1,1,0,1,1,2.3,5.63,10.39,7.67,0,0,999,sa3009718
