Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Adrian Quintana,SEA,0,0,6.69,0,0,0,1,1,1,0,1,1,1.88,5,6.33,6.72,0,0,999,sa3016465
Jose Aquino,SEA,0,0,6.6,0,0,0,1,1,1,0,1,1,1.99,5.4,7.63,6.81,0,0,999,sa3011364
Josias De Los Santos,SEA,0,0,6.62,0,0,0,1,1,1,0,1,1,1.83,5.05,6.04,6.84,0,0,999,sa3006508
Gabriel Sosa,SEA,0,0,6.86,0,0,0,1,1,1,0,1,1,1.98,4.92,7.2,6.91,0,0,999,sa3011682
Jean Munoz,SEA,0,0,6.99,0,0,0,1,1,1,0,1,1,2,4.79,7.26,7.02,0,0,999,sa3016594
Abdiel Medina,SEA,0,0,6.89,0,0,0,1,1,1,0,1,1,1.94,4.93,6.97,7.1,0,0,999,sa3009206
Yeury Tatiz,SEA,0,0,6.91,0,0,0,1,1,1,0,1,1,1.97,4.87,7.19,7.1,0,0,999,sa3005812
Kristian Cardozo,SEA,0,0,7.15,0,0,0,1,1,1,0,1,1,1.98,4.51,6.93,7.14,0,0,999,sa3014706
Wilton Perez,SEA,0,0,7.02,0,0,0,1,1,1,0,0,1,1.95,4.34,6.79,7.19,0,0,999,sa3009207
Jing-Yu Chang,SEA,0,0,6.96,0,0,0,1,1,1,0,1,1,2.04,5.12,8.1,7.31,0,0,999,sa3009989
Natanael Garabitos,SEA,0,0,7.17,0,0,0,1,1,1,0,1,1,2.03,5.12,7.86,7.36,0,0,999,sa3011099
Luis Baez,SEA,0,0,7.33,0,0,0,1,1,1,0,1,1,2.11,4.78,8.41,7.54,0,0,999,sa3006137
Lisander Brito,SEA,0,0,7.58,0,0,0,1,1,1,0,1,1,2.13,4.66,8.38,7.59,0,0,999,sa3008704
Michael Stryffeler,SEA,0,0,4.29,0,1,0,1,1,0,0,1,1,1.44,10.2,5.17,4.53,0,0,999,sa3010005
Collin Kober,SEA,0,0,4.41,0,1,0,1,1,0,0,1,0,1.41,8.38,4.07,4.63,0,0,999,sa913150
Dayeison Arias,SEA,0,0,4.39,0,1,0,1,1,0,0,1,0,1.35,9.37,4.05,4.64,0,0,999,sa3002812
Roenis Elias,SEA,0,0,4.36,0,1,0,1,1,0,0,1,0,1.35,8.15,3.41,4.64,0,0,999,12673
Scott Boches,SEA,0,0,4.47,0,1,0,1,1,0,0,1,0,1.41,8.42,3.97,4.66,0,0,999,sa3004022
Matthew Festa,SEA,0,0,4.46,0,1,0,1,1,0,0,1,0,1.36,8.42,3.59,4.68,0,0,999,19330
Daniel Morgan,SEA,0,0,4.52,0,1,0,1,1,1,0,1,0,1.37,7.61,3.26,4.69,0,0,999,sa3009860
Alfredo Villarreal,SEA,0,0,4.59,0,1,0,1,1,1,0,1,0,1.44,7.06,3.63,4.79,0,0,999,sa3011477
David Ellingson,SEA,0,0,4.57,0,1,0,1,1,1,0,1,0,1.41,7.39,3.56,4.79,0,0,999,sa873708
Matt Magill,SEA,0,0,4.65,0,1,0,1,1,1,0,1,0,1.39,8.18,3.55,4.82,0,0,999,3950
Devin Sweet,SEA,0,0,4.31,0,8,0,8,8,4,1,8,3,1.29,8.83,3.17,4.51,0,0,999,sa3008340
Darren McCaughan,SEA,0,0,4.64,0,1,0,1,1,1,0,1,0,1.31,6.55,2.02,4.78,0,0,999,20038
Travis Kuhn,SEA,0,0,4.68,0,1,0,1,1,1,0,1,0,1.45,8.56,4.45,4.92,0,0,999,sa3009928
Leon Hunter,SEA,0,0,4.75,0,1,0,1,1,1,0,1,0,1.44,7.92,3.93,4.94,0,0,999,sa3010260
Evan Johnson,SEA,0,0,4.71,0,1,0,1,1,1,0,1,1,1.46,8.58,4.63,4.96,0,0,999,sa3010000
Bryan Pall,SEA,0,0,4.79,0,1,0,1,1,1,0,1,0,1.45,8.42,4.31,4.98,0,0,999,sa3008614
Max Roberts,SEA,0,0,4.75,0,1,0,1,1,1,0,1,0,1.47,7.94,4.34,5.03,0,0,999,sa3004014
Robert Dugger,SEA,0,0,4.86,0,1,0,1,1,1,0,1,0,1.4,7.21,3.25,5.03,0,0,999,19191
Robert Winslow,SEA,0,0,4.88,0,1,0,1,1,1,0,1,1,1.49,8.21,4.66,5.14,0,0,999,sa3010263
Joshua Corrales,SEA,0,0,5.29,0,1,0,1,1,1,0,1,1,1.62,7.04,5.02,5.39,0,0,999,sa599832
Matthew Willrodt,SEA,0,0,5.05,0,1,0,1,1,1,0,1,1,1.52,7.3,4.51,5.3,0,0,999,sa3007478
Nolan Hoffman,SEA,0,0,5.04,0,1,0,1,1,1,0,1,1,1.59,6.65,4.9,5.34,0,0,999,sa3007471
Bernie Martinez,SEA,0,0,5.19,0,1,0,1,1,1,0,1,0,1.47,6.97,3.7,5.37,0,0,999,sa3010142
Jacob Haberer,SEA,0,0,5.14,0,1,0,1,1,1,0,1,1,1.56,7.91,5.14,5.41,0,0,999,sa3008514
Jarod Bayless,SEA,0,0,5.2,0,1,0,1,1,1,0,1,1,1.58,7.48,5.09,5.46,0,0,999,sa3010236
Brayan Perez,SEA,0,0,5.18,0,1,0,1,1,1,0,1,1,1.64,5.91,4.97,5.53,0,0,999,sa3006100
Juan Mercedes,SEA,0,0,5.43,0,1,0,1,1,1,0,1,1,1.57,6.82,4.58,5.64,0,0,999,sa3002818
Isaiah Campbell,SEA,0,0,5.39,0,1,0,1,1,1,0,1,1,1.66,7.13,5.59,5.65,0,0,999,sa3014432
Brendan McGuigan,SEA,0,0,5.46,0,1,0,1,1,1,0,1,1,1.63,7.34,5.44,5.71,0,0,999,sa3011850
Peyton Alford,SEA,0,0,5.36,0,1,0,1,1,1,0,1,1,1.67,7.32,5.85,5.73,0,0,999,sa3016843
Kyle Hill,SEA,0,0,5.71,0,1,0,1,1,1,0,1,1,1.71,6.91,6.01,6,0,0,999,sa3009922
Luis Curvelo,SEA,0,0,5.81,0,1,0,1,1,1,0,1,1,1.7,6.86,5.82,6.1,0,0,999,sa3008169
Logan Rinehart,SEA,0,0,5.99,0,1,0,1,1,1,0,1,1,1.78,5.92,6.11,6.25,0,0,999,sa3010255
Jorge Benitez,SEA,0,0,5.74,0,1,0,1,1,1,0,1,1,1.88,6.51,7.51,6.27,0,0,999,sa3004462
Juan Burgos,SEA,0,0,6.13,0,1,0,1,1,1,0,1,1,1.85,6.33,6.94,6.43,0,0,999,sa3009272
Elias Espino,SEA,0,0,6.27,0,1,0,1,1,1,0,1,1,1.82,6.22,6.57,6.53,0,0,999,sa3002801
Elvis Alvarado,SEA,0,0,6.22,0,1,0,1,1,1,0,1,1,1.89,5.22,6.8,6.53,0,0,999,sa919291
Franklin Moore,SEA,0,0,6.42,0,1,0,1,1,1,0,1,1,1.91,6.07,7.34,6.7,0,0,999,sa3016795
Harold Melenge,SEA,0,0,7.13,0,1,0,1,1,1,0,1,1,2.19,5.07,9.45,7.47,0,0,999,sa3009747
David Morillo,SEA,0,0,6.97,0,1,0,1,1,1,0,1,1,2.08,5.54,8.65,7.31,0,0,999,sa3009610
Elbis Afanador,SEA,0,0,7.31,0,1,0,1,1,1,0,0,1,2.06,4.41,7.8,7.54,0,0,999,sa3005699
Joey Gerber,SEA,0,1,4.61,0,10,0,10,10,5,2,9,4,1.41,8.36,3.96,4.79,0,0,999,24591
Aaron Fletcher,SEA,1,1,4.25,0,18,0,18,18,9,2,15,7,1.41,7.43,3.71,4.59,0,0.1,999,22052
