Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Oliver Garcia,PIT,0,0,5.74,0,1,0,1,1,1,0,1,1,1.76,6.55,6.16,5.87,0,0,999,sa917415
Michell Miliano,PIT,0,0,5.63,0,1,0,1,1,1,0,1,1,1.86,7.9,7.86,5.9,0,0,999,sa3005188
Gerardo Navarro,PIT,0,0,5.66,0,1,0,1,1,1,0,1,1,1.77,6.11,6.1,5.95,0,0,999,sa737443
Norman Elenes,PIT,0,0,5.84,0,1,0,1,1,1,0,1,1,1.74,5.68,5.49,5.96,0,0,999,sa504948
Logan Stoelke,PIT,0,0,5.86,0,1,0,1,1,1,0,1,1,1.75,6.61,6.09,5.98,0,0,999,sa3006762
Carlos Campos,PIT,0,0,5.88,0,1,0,1,1,1,0,1,1,1.79,6.12,6.25,6,0,0,999,sa3005457
Wandi Montout,PIT,0,0,5.79,0,1,0,1,1,1,0,1,1,1.84,6.64,7.07,6.01,0,0,999,sa3011422
Denny Roman,PIT,0,0,5.75,0,1,0,1,1,1,0,1,1,1.83,6.3,6.77,6.02,0,0,999,sa3007608
Cameron Vieaux,PIT,0,0,4.54,0,8,0,8,8,4,1,7,4,1.42,8.21,4.05,4.74,0,0,999,sa873657
Xavier Concepcion,PIT,0,0,6,0,1,0,1,1,1,0,1,1,1.9,6.34,7.45,6.19,0,0,999,sa3006618
Garrett Leonard,PIT,0,0,6.08,0,1,0,1,1,1,0,1,1,1.83,6.81,6.95,6.2,0,0,999,sa3010141
Alex Roth,PIT,0,0,6.13,0,1,0,1,1,1,0,1,1,1.83,6.5,6.73,6.21,0,0,999,sa3011220
Estalin Ortiz,PIT,0,0,6.04,0,1,0,1,1,1,0,1,1,1.93,6.53,7.81,6.33,0,0,999,sa3006395
Listher Sosa,PIT,0,0,6.25,0,1,0,1,1,1,0,1,1,1.95,5.35,7.39,6.4,0,0,999,sa3009725
Alec Rennard,PIT,0,0,6.4,0,1,0,1,1,1,0,1,1,1.96,5.49,7.47,6.51,0,0,999,sa3008226
Francis Del Orbe,PIT,0,0,6.42,0,1,0,1,1,1,0,1,1,1.91,6.11,7.33,6.52,0,0,999,sa3003043
Arlinthon De Dios,PIT,0,0,6.94,0,1,0,1,1,1,0,1,1,2.05,5.24,8.11,7.02,0,0,999,sa3005446
Eric Hanhold,PIT,2,2,4.59,0,44,0,44,45,22,6,38,20,1.47,7.71,4.08,4.59,0,-0.1,999,18332
Jorge Ramos,PIT,0,0,6.92,0,1,0,1,1,1,0,1,1,2.13,5.46,9.07,7.1,0,0,999,sa3009524
Francisco Hodge,PIT,0,0,6.92,0,1,0,1,1,1,0,1,1,2.1,4.97,8.44,7.16,0,0,999,sa3006155
Yoelvis Reyes,PIT,0,0,6.86,0,1,0,1,1,1,0,1,1,2.16,5.4,9.35,7.16,0,0,999,sa3006542
Mario Garcia,PIT,0,0,7.05,0,1,0,1,1,1,0,1,1,2.14,5.5,9.16,7.2,0,0,999,sa3005443
Darvin Garcia,PIT,0,0,7.18,0,1,0,1,1,1,0,1,1,2.11,5.63,8.78,7.3,0,0,999,sa3011716
Johan Montero,PIT,0,0,7.54,0,1,0,1,1,1,0,1,1,2.2,5.05,9.29,7.64,0,0,999,sa3009488
Adrian Mendez,PIT,0,0,7.25,0,1,0,1,1,1,0,1,1,2.27,5.22,10.36,7.61,0,0,999,sa3009726
Miguel Diaz,PIT,0,0,7.55,0,1,0,1,1,1,0,1,1,2.21,5.46,9.59,7.69,0,0,999,sa3006972
Wilkin Valdez,PIT,0,0,7.84,0,1,0,1,1,1,0,1,1,2.25,4.77,9.55,7.9,0,0,999,sa3009630
Hunter Stratton,PIT,2,3,4.56,0,48,0,48,44,24,7,48,26,1.47,8.98,4.86,4.72,-0.1,-0.1,999,sa3004216
