Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jared Janczak,CLE,0,0,5.69,0,1,0,1,1,1,0,1,1,1.76,6.71,6.24,5.9,0,0,999,sa3010300
Nicholas Enright,CLE,1,2,4.41,0,30,0,30,28,15,5,31,12,1.32,9.27,3.51,4.52,0,0,999,sa3010299
Zachary Hart,CLE,0,0,5.77,0,1,0,1,1,1,0,1,1,1.78,6.81,6.51,5.98,0,0,999,sa3009997
Nick Gallagher,CLE,0,0,5.77,0,1,0,1,1,1,0,1,1,1.68,7.13,5.78,5.99,0,0,999,sa3005408
Serafino Brito,CLE,0,0,5.89,0,1,0,1,1,1,0,1,1,1.76,6.17,5.95,6.06,0,0,999,sa3010312
Jonathan Teaney,CLE,0,0,5.93,0,1,0,1,1,1,0,1,1,1.78,6.39,6.22,6.11,0,0,999,sa829674
Randy Labaut,CLE,0,0,5.88,0,1,0,1,1,1,0,1,1,1.75,6.4,6.01,6.12,0,0,999,sa3010615
Yeury Gervacio,CLE,0,0,5.91,0,1,0,1,1,1,0,1,1,1.82,6.68,6.86,6.25,0,0,999,sa3007468
Daritzon Feliz,CLE,0,0,6.01,0,1,0,1,1,1,0,1,1,1.83,5.83,6.56,6.35,0,0,999,sa3002813
Hugo Villalobos,CLE,0,0,6.2,0,1,0,1,1,1,0,1,1,1.82,5.51,6.14,6.35,0,0,999,sa3008729
Liam Jenkins,CLE,0,0,6.3,0,1,0,1,1,1,0,1,1,1.83,5.96,6.36,6.42,0,0,999,sa3007458
Miguel Vinicio,CLE,0,0,6.4,0,1,0,1,1,1,0,1,1,1.87,6.13,6.88,6.55,0,0,999,sa3008164
Elvis Jerez,CLE,0,0,6.41,0,1,0,1,1,1,0,1,1,1.93,6.78,7.86,6.66,0,0,999,sa3009469
Ricky Benton,CLE,0,0,6.48,0,1,0,1,1,1,0,1,1,1.98,6.55,8.14,6.71,0,0,999,sa3015034
Luis Almonte,CLE,0,0,7.06,0,1,0,1,1,1,0,1,1,2.11,5.79,8.89,7.22,0,0,999,sa3009525
Francis Cespedes,CLE,0,0,6.79,0,1,0,1,1,1,0,1,1,2.08,5.57,8.69,7.16,0,0,999,sa919554
Jose Oca,CLE,0,0,7.12,0,1,0,1,1,1,0,1,1,1.98,4.94,7.24,7.2,0,0,999,sa917346
Felix Polanco,CLE,0,0,7.17,0,1,0,1,1,1,0,1,1,2.12,5.11,8.74,7.42,0,0,999,sa3008709
Robert Cruz,CLE,0,0,7.31,0,1,0,1,1,1,0,1,1,2.12,4.73,8.44,7.44,0,0,999,sa3006390
Miguel Cordones,CLE,0,0,7.33,0,1,0,1,1,1,0,1,1,2.17,5.06,9.06,7.48,0,0,999,sa3009493
Olmandi Diaz,CLE,0,0,7.4,0,1,0,1,1,1,0,1,1,2.17,5.03,8.98,7.5,0,0,999,sa3016484
Dahan Batista,CLE,0,0,7.48,0,1,0,1,1,1,0,1,1,2.15,4.83,8.7,7.55,0,0,999,sa3009261
