Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Blane Abeyta,NYY,0,0,6.57,0,0,0,1,1,1,0,1,1,1.82,6.07,6.13,6.68,0,0,999,sa3014975
Yon Castro,NYY,0,0,6.64,0,0,0,1,1,1,0,1,1,1.82,5.71,5.93,6.71,0,0,999,sa3005848
Josue Panacual,NYY,0,0,6.63,0,0,0,1,1,1,0,1,1,1.87,5.4,6.24,6.73,0,0,999,sa3010568
Allen Facundo,NYY,0,0,6.56,0,0,0,1,1,1,0,1,1,1.97,5.78,7.66,6.75,0,0,999,sa3016071
Blakely Brown,NYY,0,0,6.7,0,0,0,1,1,1,0,1,1,1.86,5.29,6.11,6.77,0,0,999,sa3008480
Ryan Anderson,NYY,0,0,6.52,0,0,0,1,1,1,0,1,1,1.93,5.62,7.08,6.78,0,0,999,sa1172845
Jose Chambuco,NYY,0,0,6.82,0,0,0,1,1,1,0,1,1,1.91,5.27,6.57,6.81,0,0,999,sa3008703
Tyrone Yulie,NYY,0,0,6.72,0,0,0,1,1,1,0,1,1,1.86,5.76,6.38,6.81,0,0,999,sa3010246
Juan Carela,NYY,0,0,6.77,0,0,0,1,1,1,0,1,1,1.87,5.33,6.28,6.85,0,0,999,sa3009237
Luis Arejula,NYY,0,0,6.86,0,0,0,1,1,1,0,1,1,1.92,5.19,6.69,6.85,0,0,999,sa3016619
Carlos Rosario,NYY,0,0,6.89,0,0,0,1,1,1,0,1,1,1.96,4.79,6.84,6.9,0,0,999,sa3016233
Miguel Pozo,NYY,0,0,6.77,0,0,0,1,1,1,0,1,1,2.04,5.15,7.97,7,0,0,999,sa3016581
Luis Serna,NYY,0,0,7.03,0,0,0,1,1,1,0,1,1,1.99,4.96,7.22,7.03,0,0,999,sa3016528
Gerardo Abrego,NYY,0,0,7.03,0,0,0,1,1,1,0,1,1,1.96,5.04,6.99,7.04,0,0,999,sa3016741
Franklin Corniel,NYY,0,0,7.08,0,0,0,1,1,1,0,1,1,2.02,4.83,7.45,7.09,0,0,999,sa3016481
Nolberto Henriquez,NYY,0,0,7.11,0,0,0,1,1,1,0,1,1,1.99,4.8,7.15,7.12,0,0,999,sa3011137
Henry Lalane,NYY,0,0,7.01,0,0,0,1,1,1,0,1,1,2.05,4.67,7.76,7.16,0,0,999,sa3016066
Denny Larrondo,NYY,0,0,7.86,0,0,0,1,1,1,0,1,1,2.15,4.99,8.45,7.9,0,0,999,sa3010654
Ronald Marinaccio,NYY,0,0,4.58,0,1,0,1,1,1,0,1,0,1.41,9.84,4.42,4.72,0,0,999,sa3004593
Zachary Greene,NYY,0,0,4.59,0,1,0,1,1,1,0,1,0,1.39,9.24,4.01,4.72,0,0,999,sa1119415
Reggie McClain,NYY,0,0,4.57,0,1,0,1,1,1,0,1,0,1.5,7.49,4.25,4.74,0,0,999,19311
Trevor Lane,NYY,0,0,4.58,0,1,0,1,1,1,0,1,0,1.43,8.29,3.91,4.82,0,0,999,sa918196
Nicholas Ernst,NYY,0,0,4.7,0,1,0,1,1,1,0,1,1,1.46,9.16,4.62,4.85,0,0,999,sa3010558
Michael Gomez,NYY,0,0,4.81,0,1,0,1,1,1,0,1,0,1.45,7.72,3.77,4.92,0,0,999,sa3008454
Addison Russ,NYY,0,0,4.86,0,1,0,1,1,1,0,1,1,1.49,8.79,4.7,5.01,0,0,999,sa3004106
Carlos Espinal,NYY,0,0,4.87,0,1,0,1,1,1,0,1,0,1.49,8.3,4.47,5.03,0,0,999,sa872567
Jake Barrett,NYY,0,0,4.94,0,1,0,1,1,1,0,1,0,1.44,8.16,3.78,5.03,0,0,999,13322
Barrett Loseke,NYY,0,0,5,0,1,0,1,1,1,0,1,0,1.49,8.48,4.42,5.11,0,0,999,sa3008243
Gregory Weissert,NYY,0,0,4.95,0,1,0,1,1,1,0,1,1,1.53,8.51,4.99,5.16,0,0,999,sa918484
Braden Bristo,NYY,0,0,5.01,0,1,0,1,1,1,0,1,1,1.5,8.59,4.62,5.17,0,0,999,sa918549
Deivi Garcia,NYY,0,1,5.73,2,2,0,9,9,6,2,8,5,1.59,7.87,5.04,5.91,0,0,599.6,20276
Clayton Aguilar,NYY,0,0,5.33,0,1,0,1,1,1,0,1,1,1.6,7.02,4.77,5.54,0,0,999,sa3015003
Edgar Barclay,NYY,0,0,5.37,0,1,0,1,1,1,0,1,1,1.6,7.31,4.94,5.62,0,0,999,sa1170012
Trevor Holloway,NYY,0,0,5.6,0,1,0,1,1,1,0,1,1,1.71,6.75,5.67,5.78,0,0,999,sa3014859
Charles Ruegger,NYY,0,0,5.59,0,1,0,1,1,1,0,1,1,1.69,5.98,5.2,5.8,0,0,999,sa3008427
Aaron McGarity,NYY,0,0,5.67,0,1,0,1,1,1,0,1,1,1.67,6.74,5.17,5.82,0,0,999,sa873280
Derek Craft,NYY,0,0,5.73,0,1,0,1,1,1,0,1,1,1.7,7.09,5.65,5.91,0,0,999,sa3006824
Justin Wilson,NYY,0,0,5.78,0,1,0,1,1,1,0,1,1,1.75,7.35,6.23,5.97,0,0,999,sa3008166
Bryan Blanton,NYY,0,0,5.81,0,1,0,1,1,1,0,1,1,1.72,7.39,5.97,6,0,0,999,sa3004351
Matthew Minnick,NYY,0,0,5.74,0,1,0,1,1,1,0,1,1,1.74,7.36,6.22,6.05,0,0,999,sa3011369
Kyle Zurak,NYY,0,0,5.88,0,1,0,1,1,1,0,1,1,1.75,6.13,5.68,6.06,0,0,999,sa3004864
Wilser Barrios,NYY,0,0,5.92,0,1,0,1,1,1,0,1,1,1.74,6.58,5.78,6.09,0,0,999,sa3003157
Carlos Gomez,NYY,0,0,6.05,0,1,0,1,1,1,0,1,1,1.8,6.93,6.47,6.25,0,0,999,sa3006699
Nelvin Correa,NYY,0,0,6.09,0,1,0,1,1,1,0,1,1,1.73,6.23,5.45,6.27,0,0,999,sa3003103
Michael Giacone,NYY,0,0,5.95,0,1,0,1,1,1,0,1,1,1.84,6.72,6.88,6.3,0,0,999,sa3014802
Timothy Hardy,NYY,0,0,6.04,0,1,0,1,1,1,0,1,1,1.83,6.63,6.66,6.33,0,0,999,sa3004104
Wellington Diaz,NYY,0,0,6.27,0,1,0,1,1,1,0,1,1,1.83,6.77,6.71,6.46,0,0,999,sa3004579
Harold Cortijo,NYY,0,0,6.45,0,1,0,1,1,1,0,1,1,1.86,5.51,6.32,6.59,0,0,999,sa3004588
Enrique Santana,NYY,0,0,6.41,0,1,0,1,1,1,0,1,1,1.9,6.01,6.99,6.62,0,0,999,sa3007496
Tanner Myatt,NYY,0,0,6.36,0,1,0,1,1,1,0,1,1,1.95,7.2,8.13,6.64,0,0,999,sa3007719
Carson Coleman,NYY,0,0,6.43,0,1,0,1,1,1,0,1,1,1.9,6.49,7.24,6.64,0,0,999,sa3014857
Kevin Milam,NYY,0,0,6.46,0,1,0,1,1,1,0,1,1,1.88,6.46,7,6.65,0,0,999,sa3010819
Nelson Alvarez,NYY,0,0,6.47,0,1,0,1,1,1,0,1,1,1.87,6.34,6.81,6.65,0,0,999,sa3010783
Yorlin Calderon,NYY,0,0,6.66,0,1,0,1,1,1,0,1,1,1.83,5.59,5.85,6.72,0,0,999,sa3010371
Zachary Kohn,NYY,0,0,6.62,0,1,0,1,1,1,0,1,1,1.93,6.27,7.31,6.78,0,0,999,sa1115756
Kenlly Montas,NYY,0,0,6.67,0,1,0,1,1,1,0,1,1,1.98,5.74,7.6,6.89,0,0,999,sa917471
Miguel Vargas,NYY,0,0,6.56,0,1,0,1,1,1,0,1,1,2.05,5.29,8.24,6.89,0,0,999,sa3009487
Rodney Hutchison,NYY,0,0,7,0,1,0,1,1,1,0,1,1,1.99,5.71,7.54,7.13,0,0,999,sa3008162
Alex Mejias,NYY,0,0,7.09,0,1,0,1,1,1,0,1,1,1.95,5.03,6.72,7.17,0,0,999,sa917876
Franyer Hernandez,NYY,0,0,6.94,0,1,0,1,1,1,0,1,1,2.1,4.79,8.37,7.14,0,0,999,sa3008372
Jan Pena,NYY,0,0,7.16,0,1,0,1,1,1,0,1,1,2.13,5.45,8.85,7.29,0,0,999,sa3016236
Christian Sumoza,NYY,0,0,7.65,0,1,0,1,1,1,0,1,1,2.19,4.98,8.99,7.8,0,0,999,sa3006591
Edward Paredes,NYY,0,0,7.81,0,1,0,1,1,1,0,1,1,2.19,4.95,8.92,7.91,0,0,999,sa916948
Leonardo Pestana,NYY,0,0,7.75,0,1,0,1,1,1,0,1,1,2.23,5.82,9.81,7.94,0,0,999,sa3005456
Luis Velasquez,NYY,0,0,7.86,0,1,0,1,1,1,0,1,1,2.27,5.04,9.84,8.04,0,0,999,sa3010135
Starling Perez,NYY,0,0,8.1,0,1,0,1,1,1,0,1,1,2.23,4.58,9.13,8.18,0,0,999,sa3009827
Matt Bowman,NYY,1,1,4.83,0,14,0,14,15,8,2,11,6,1.5,7.38,4.08,4.95,0,0,999,13528
