Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Kyle Molnar,LAA,0,0,4.78,0,1,0,1,1,1,0,1,0,1.49,7.57,4.2,4.94,0,0,999,sa3014909
Sean McLaughlin,LAA,0,0,4.8,0,1,0,1,1,1,0,1,0,1.45,7.38,3.72,4.96,0,0,999,sa659266
Zack Weiss,LAA,0,0,4.88,0,1,0,1,1,1,0,1,0,1.46,8.56,4.37,5.06,0,0,999,15444
Keith Rogalla,LAA,0,0,4.9,0,1,0,1,1,1,0,1,0,1.45,7.77,3.87,5.07,0,0,999,sa829753
Connor Higgins,LAA,0,0,4.69,0,1,0,1,1,1,0,1,1,1.57,7.96,5.32,5.07,0,0,999,sa3006808
Elvis Peguero,LAA,0,0,4.44,0,6,0,6,6,3,1,5,3,1.41,8.13,3.82,4.62,0,0,999,21652
Dakota Donovan,LAA,0,0,5.14,0,1,0,1,1,1,0,1,1,1.61,6.97,5.03,5.36,0,0,999,sa3014783
Matthias Dietz,LAA,0,0,5.27,0,1,0,1,1,1,0,1,1,1.64,8.19,5.83,5.5,0,0,999,sa875993
Adrian Almeida,LAA,0,0,5.08,0,1,0,1,1,1,0,1,1,1.68,8.5,6.49,5.51,0,0,999,sa658087
Winston Lavendier,LAA,0,0,5.45,0,1,0,1,1,1,0,1,1,1.71,6.59,5.77,5.7,0,0,999,sa876120
Ivan Armstrong,LAA,0,0,5.58,0,1,0,1,1,1,0,1,1,1.71,6.38,5.63,5.82,0,0,999,sa3006358
Gregory Veliz,LAA,0,0,5.62,0,1,0,1,1,1,0,1,1,1.68,7.18,5.6,5.83,0,0,999,sa1054455
Zachary Kristofak,LAA,0,0,5.63,0,1,0,1,1,1,0,1,1,1.69,6.4,5.44,5.85,0,0,999,sa918918
Chase Chaney,LAA,0,0,5.77,0,1,0,1,1,1,0,1,1,1.7,6.33,5.45,5.97,0,0,999,sa3010369
Emilker Guzman,LAA,0,0,5.96,0,1,0,1,1,1,0,1,1,1.72,6.01,5.45,6.17,0,0,999,sa3003158
Chad Sykes,LAA,0,0,6.11,0,1,0,1,1,1,0,1,1,1.76,6.63,6.07,6.32,0,0,999,sa1169870
Stiward Aquino,LAA,0,0,7.15,0,1,0,1,1,1,0,1,1,2.1,5.84,8.74,7.38,0,0,999,sa3002911
Luis Nunez,LAA,0,0,7.09,0,1,0,1,1,1,0,1,1,2.14,5.65,9.18,7.39,0,0,999,sa3009715
Darrien Williams,LAA,0,0,7.48,0,1,0,1,1,1,0,1,1,2.17,5.17,9.03,7.69,0,0,999,sa3007605
Emmanuel Duran,LAA,0,0,7.45,0,1,0,1,1,1,0,1,1,2.19,5.37,9.37,7.69,0,0,999,sa3005837
Jean Lucas,LAA,0,0,7.61,0,1,0,1,1,1,0,1,1,2.2,5,9.2,7.81,0,0,999,sa3005431
Kyle Tyler,LAA,2,2,4.55,0,42,0,42,43,21,6,35,15,1.38,7.5,3.22,4.71,-0.1,0,999,22092
Sam Selman,LAA,2,2,4.77,0,35,0,35,33,19,6,35,17,1.43,8.94,4.35,5.06,-0.1,-0.1,999,13397
Jimmy Herget,LAA,3,3,4.86,0,54,0,54,53,29,9,50,24,1.43,8.35,3.99,5.01,-0.3,-0.1,999,17556
