Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Jharel Cotton,MIN,3,3,4.75,0,58,0,58,56,31,9,57,26,1.42,8.86,4.04,4.79,0,-0.1,999,13654
Juan Pichardo,MIN,0,0,6.17,0,1,0,1,1,1,0,1,1,1.88,6.09,6.9,6.31,0,0,999,sa3008727
Anthony Escobar,MIN,0,0,6.4,0,1,0,1,1,1,0,1,1,1.88,6.24,6.76,6.38,0,0,999,sa3005691
Nathaniel Hadley,MIN,0,0,6.48,0,1,0,1,1,1,0,1,1,1.87,6.53,6.82,6.46,0,0,999,sa3010553
Argenis Angulo,MIN,0,0,5.2,0,3,0,3,3,2,1,3,2,1.54,8.37,4.8,5.2,0,0,999,sa829470
Dylan Thomas,MIN,0,0,6.55,0,1,0,1,1,1,0,1,1,1.89,5.94,6.69,6.51,0,0,999,sa1115767
Matthew Swain,MIN,0,0,6.55,0,1,0,1,1,1,0,1,1,1.87,6.14,6.64,6.55,0,0,999,sa1170357
Jerrord Perez,MIN,0,0,6.44,0,1,0,1,1,1,0,1,1,1.94,5.85,7.21,6.55,0,0,999,sa3007859
Bradley Hanner,MIN,0,0,6.72,0,1,0,1,1,1,0,1,1,1.96,5.97,7.38,6.69,0,0,999,sa3010837
Zaquiel Puentes,MIN,0,0,6.93,0,1,0,1,1,1,0,1,1,2.03,5.94,8.03,6.93,0,0,999,sa3006351
Samuel Perez,MIN,0,0,7.24,0,1,0,1,1,1,0,1,1,2.08,5.15,8.15,7.33,0,0,999,sa3008176
Rafael Feliz,MIN,0,0,7.73,0,1,0,1,1,1,0,0,1,2.15,4.34,8.25,7.58,0,0,999,sa3008358
Julio Bonilla,MIN,0,0,7.44,0,1,0,1,1,1,0,1,1,2.2,5.24,9.43,7.58,0,0,999,sa3011372
Ryan Mason,MIN,1,1,4.8,0,28,0,28,28,15,4,25,13,1.49,8.12,4.26,4.78,-0.1,-0.1,999,sa856254
Ralph Garza,MIN,2,3,4.97,0,54,0,54,55,30,9,49,25,1.48,8.16,4.18,4.94,-0.3,-0.2,999,17682
