Name,Team,W,L,ERA,GS,G,SV,IP,H,ER,HR,SO,BB,WHIP,K_per_9,BB_per_9,FIP,WAR,RA9_WAR,ADP,playerid
Charvez Carter,MIA,0,0,4.26,0,1,0,1,1,0,0,1,0,1.4,8.76,4.18,4.39,0,-0.1,999,sa3007490
Colton Hock,MIA,0,0,4.25,0,1,0,1,1,0,0,1,0,1.39,7.94,3.74,4.39,0,-0.1,999,sa915685
Tyler Mitzel,MIA,0,0,4.25,0,1,0,1,1,0,0,1,0,1.44,8.42,4.34,4.4,0,-0.1,999,sa3007862
Tanner Andrews,MIA,0,0,4.31,0,1,0,1,1,0,0,1,0,1.37,8.07,3.52,4.42,0,-0.1,999,sa3007850
Jefry Yan,MIA,0,0,4.15,0,1,0,1,1,0,0,1,1,1.44,9.34,4.89,4.42,0,0.1,999,sa828460
Drew Rucinski,MIA,0,0,4.43,0,1,0,1,1,0,0,1,0,1.4,7.45,3.47,4.49,0,-0.1,999,12499
Jeff Brigham,MIA,0,0,4.45,0,1,0,1,1,0,0,1,0,1.36,8.75,3.73,4.53,0,-0.1,999,16631
Jackson Rose,MIA,0,0,4.43,0,1,0,1,1,0,0,1,0,1.35,8.12,3.33,4.54,0,-0.1,999,sa3008129
Mike Morin,MIA,0,0,4.46,0,1,0,1,1,0,0,1,0,1.38,6.93,3.02,4.59,0,-0.1,999,13442
Justin Evans,MIA,0,0,4.47,0,1,0,1,1,0,0,1,0,1.45,8.22,4.36,4.6,0,-0.1,999,sa3014795
Joey Steele,MIA,0,0,4.65,0,1,0,1,1,1,0,1,1,1.52,7.91,4.9,4.83,0,-0.1,999,sa3010382
Dylan Bice,MIA,0,0,4.69,0,1,0,1,1,1,0,1,0,1.46,8.06,4.33,4.86,0,-0.1,999,sa918551
Elijah Villalobos,MIA,0,0,4.75,0,1,0,1,1,1,0,1,1,1.55,7.81,5,4.9,0,-0.1,999,sa3007997
Parker Bugg,MIA,0,0,4.74,0,1,0,1,1,1,0,1,1,1.46,8.99,4.8,4.93,0,-0.1,999,sa738946
Cody Mincey,MIA,0,0,4.95,0,1,0,1,1,1,0,1,1,1.55,7.27,4.78,5.12,0,-0.1,999,sa3016707
Cason Sherrod,MIA,0,0,5.13,0,1,0,1,1,1,0,1,1,1.64,7.08,5.5,5.3,0,-0.1,999,sa3006945
Josan Mendez,MIA,0,0,5.13,0,1,0,1,1,1,0,1,1,1.7,6.49,5.8,5.37,0,-0.1,999,sa3006122
Raul Brito,MIA,0,0,5.21,0,1,0,1,1,1,0,1,1,1.74,6.89,6.4,5.48,0,-0.1,999,sa928287
Jesus Sanchez,MIA,0,0,5.32,0,1,0,1,1,1,0,1,1,1.67,7.04,5.82,5.55,0,-0.1,999,sa917897
Yeremin Lara,MIA,0,0,5.47,0,1,0,1,1,1,0,1,1,1.69,6.39,5.54,5.63,0,-0.1,999,sa917804
Edison Suriel,MIA,0,0,5.24,0,1,0,1,1,1,0,1,1,1.84,6.95,7.44,5.71,0,-0.1,999,sa917807
Evan Brabrand,MIA,0,0,5.57,0,1,0,1,1,1,0,1,1,1.7,6.2,5.59,5.75,0,-0.1,999,sa3010576
Robinson Martinez,MIA,0,0,5.54,0,1,0,1,1,1,0,1,1,1.75,7.05,6.47,5.75,0,-0.1,999,sa873188
Geremy Galindez,MIA,0,0,5.55,0,1,0,1,1,1,0,1,1,1.78,5.88,6.2,5.77,0,-0.1,999,sa3003018
